queue_len,staff_on_duty,arrival_hour,tests_ordered,walk_in,wait_minutes
15,7,14,2,1,117.8
2,7,14,1,0,13.2
7,7,8,3,0,35.0
11,5,15,0,1,76.3
7,3,14,0,0,68.1
7,7,15,0,1,50.1
2,6,16,0,1,11.7
6,7,10,0,0,31.9
3,5,10,1,0,15.9
4,2,17,0,1,34.7
10,5,13,3,1,82.4
10,4,12,2,1,81.3
9,7,10,2,1,51.7
5,4,14,1,0,34.3
15,3,15,1,1,114.5
1,2,8,0,0,6.1
5,7,13,0,0,27.9
1,6,17,1,1,9.5
5,2,10,2,0,52.2
15,4,10,1,1,98.3
5,4,16,0,1,52.0
14,4,8,2,0,87.7
7,7,11,1,1,39.0
11,2,12,2,1,95.8
7,3,15,1,0,68.4
4,3,9,3,1,48.6
12,3,12,1,0,90.7
15,7,9,0,1,89.8
4,7,15,0,0,15.2
12,2,14,2,1,99.3
4,5,12,3,1,37.0
11,3,11,2,1,81.4
12,3,9,1,0,86.1
7,3,17,2,1,63.6
11,3,14,1,0,85.1
4,4,11,2,0,28.8
1,7,12,2,1,15.1
1,5,15,0,1,9.0
7,6,15,0,1,56.3
14,4,12,0,0,93.7
2,2,11,2,1,41.0
7,2,14,0,1,54.2
11,3,14,1,1,87.5
3,3,13,1,0,24.1
11,7,8,1,1,65.5
4,7,12,1,1,25.7
12,7,14,1,1,77.3
9,5,17,3,0,71.5
8,5,13,1,0,48.0
2,5,11,0,0,0.0
7,4,13,0,1,45.2
13,6,9,0,0,79.5
0,6,8,4,0,2.4
12,6,14,2,1,82.0
7,5,17,2,0,71.0
11,2,16,5,1,110.8
10,6,13,1,1,72.4
6,4,8,1,0,44.4
4,6,17,1,0,36.3
10,5,12,1,1,63.2
2,7,10,1,0,6.5
9,4,16,0,1,58.4
1,7,15,2,0,27.6
10,7,15,2,0,61.8
10,3,10,1,0,65.6
1,4,17,1,1,16.6
12,5,12,0,0,66.8
6,6,13,0,0,43.1
12,6,15,1,0,96.4
0,7,14,1,0,0.0
2,4,9,1,0,7.8
7,5,11,1,1,38.2
3,4,11,2,1,32.6
5,7,17,0,0,28.4
10,3,15,2,1,83.5
2,5,11,0,1,14.9
10,2,15,2,1,92.8
1,7,15,2,1,18.8
2,4,11,1,0,16.2
9,4,12,0,1,56.7
12,5,16,0,1,88.6
2,4,13,1,1,24.6
4,7,9,0,0,19.5
14,5,15,1,1,106.6
15,5,13,3,1,108.5
9,2,13,0,1,61.9
7,2,15,1,0,56.9
5,4,17,0,0,33.0
9,7,11,0,1,57.6
9,7,12,0,0,52.4
4,5,9,1,0,32.3
0,5,14,0,1,6.6
2,4,12,2,1,30.1
15,3,11,1,0,112.8
6,2,14,2,0,62.0
7,4,12,5,0,74.2
7,3,12,3,0,74.7
12,3,12,1,0,88.0
1,3,10,1,1,15.6
1,2,9,2,1,19.7
4,5,16,1,0,38.3
7,7,8,2,0,50.9
10,6,11,0,1,62.3
7,4,14,0,0,56.5
7,4,9,3,0,47.4
15,3,14,2,0,114.4
2,2,15,0,1,27.2
9,5,14,2,0,65.3
8,5,11,2,0,73.9
7,2,8,0,1,51.1
12,4,16,1,0,86.7
4,3,11,0,0,28.8
15,3,16,2,0,105.1
5,6,9,1,1,28.6
8,5,9,2,1,67.1
8,5,15,2,1,64.6
13,6,17,2,0,91.3
7,7,16,0,0,50.0
4,6,15,1,1,41.9
0,5,10,0,1,2.5
5,7,17,0,0,27.6
13,4,14,1,1,95.8
0,7,9,1,1,0.0
14,6,9,0,1,80.2
8,5,16,1,1,57.8
2,7,10,1,0,4.2
4,5,15,0,0,21.2
8,6,9,0,0,33.8
5,3,10,1,0,40.7
1,7,10,2,1,12.3
10,5,10,1,1,80.1
10,6,14,1,1,67.7
1,4,17,1,0,20.6
4,7,17,2,1,40.7
3,2,15,2,0,39.4
10,2,10,4,1,99.9
11,5,17,1,0,85.5
11,6,13,0,0,69.5
15,6,13,2,0,103.0
12,4,15,2,1,95.3
5,5,15,2,0,36.7
1,5,17,0,0,5.5
9,7,13,0,0,47.8
14,5,14,1,1,94.0
15,4,15,1,0,110.0
3,7,10,2,0,27.1
3,2,11,1,0,25.2
0,7,14,2,0,6.9
2,2,8,0,1,12.8
8,3,11,2,1,67.8
8,6,15,1,0,51.8
5,6,17,1,1,46.4
4,7,13,1,0,20.4
13,6,11,1,1,93.7
7,5,12,1,0,47.3
12,4,14,1,0,82.8
15,2,13,2,0,109.0
5,2,8,2,0,47.0
3,3,13,2,1,44.9
15,2,12,1,1,115.4
10,5,15,0,1,83.8
4,6,16,1,0,39.7
9,7,17,4,1,80.5
8,4,14,2,0,64.3
14,7,11,1,1,93.9
4,7,12,0,1,16.8
15,7,9,1,0,98.2
14,4,17,1,0,105.5
2,3,16,0,0,23.1
2,7,16,0,1,17.7
8,3,11,0,1,68.9
0,4,11,0,0,0.6
4,2,16,0,1,40.9
6,6,13,0,1,48.1
15,5,15,0,0,104.7
15,2,12,1,1,111.9
2,3,12,1,0,22.3
14,5,14,0,1,96.4
1,5,16,0,0,11.3
11,6,11,0,1,61.0
13,3,16,4,0,105.8
14,7,10,1,0,80.6
3,4,12,3,0,31.0
14,6,17,2,1,102.9
1,3,17,1,0,25.6
8,2,17,2,1,78.8
7,2,11,1,1,61.8
5,4,16,4,1,56.8
0,7,17,0,1,0.0
12,2,17,1,1,103.8
5,4,8,1,0,37.6
10,2,15,1,1,80.6
6,7,17,1,0,43.3
5,6,15,2,1,59.1
14,6,10,1,0,88.8
1,6,15,0,1,4.7
11,5,9,1,1,74.2
11,6,12,1,0,72.4
6,2,14,2,1,62.3
4,7,12,4,0,39.6
0,6,14,1,0,0.0
14,6,10,2,1,92.6
15,4,14,1,1,109.3
3,6,14,2,0,26.7
0,4,14,2,1,14.8
1,2,10,1,1,19.3
1,7,11,1,1,7.0
13,3,10,2,1,106.2
14,2,12,1,0,102.7
2,5,13,2,0,25.4
11,3,11,0,1,74.9
2,7,12,3,1,28.7
5,4,10,1,0,38.7
9,2,10,0,1,72.1
11,7,14,2,1,85.0
13,5,16,1,1,100.1
0,3,10,1,0,6.3
3,6,16,1,0,26.1
4,5,13,1,0,36.9
4,2,9,0,1,29.3
15,6,11,1,1,96.8
12,4,8,1,0,80.6
5,6,8,3,1,45.5
15,7,11,1,1,92.7
7,5,12,1,0,48.4
8,6,15,0,0,49.8
6,3,9,1,1,35.4
2,3,16,1,1,29.8
14,4,10,0,1,92.5
0,7,9,1,1,0.0
2,5,14,1,0,27.2
3,4,15,1,1,26.1
4,6,14,2,1,33.3
2,7,9,2,0,0.0
0,7,9,1,0,0.0
10,3,11,2,1,80.2
15,6,12,1,1,98.7
1,5,17,2,1,31.9
4,4,10,3,0,46.1
8,4,9,2,0,60.7
14,2,17,1,1,111.1
11,3,9,2,1,92.9
12,5,8,0,1,74.9
9,7,12,1,1,54.9
6,7,12,0,0,20.5
3,3,14,0,1,27.1
13,6,16,2,0,99.6
12,2,17,0,1,108.5
0,6,10,3,0,9.3
11,4,17,0,1,77.7
1,4,14,0,1,6.6
11,6,8,1,1,74.3
13,4,17,0,1,84.7
2,6,9,3,1,28.0
6,5,13,1,1,52.4
1,7,15,1,0,10.0
9,5,10,1,0,58.1
14,3,10,2,1,110.8
1,6,12,1,1,11.8
6,4,16,1,1,49.4
15,5,10,0,1,108.0
4,2,14,3,1,53.6
2,2,12,0,1,28.5
7,5,9,1,1,34.7
8,3,15,0,1,71.1
10,7,16,1,0,75.9
5,7,13,0,1,29.7
15,6,9,1,0,97.6
8,6,9,1,1,56.1
4,5,12,1,1,29.4
15,2,13,1,1,118.3
14,4,13,2,0,99.1
7,4,10,0,1,44.2
0,7,13,0,0,0.0
9,3,10,0,1,69.7
8,4,14,1,0,56.5
2,4,15,1,0,18.5
10,2,14,2,1,85.3
13,2,8,0,1,94.9
1,4,17,0,0,7.3
11,2,8,1,0,81.1
2,2,17,1,0,35.8
11,4,8,2,1,82.0
6,3,13,1,0,55.6
0,5,9,1,0,0.0
15,2,8,2,0,109.2
2,3,14,1,0,18.8
9,4,15,1,0,74.5
2,7,9,1,1,6.1
14,5,17,1,1,106.4
11,7,11,0,0,61.7
12,4,11,1,1,80.8
6,4,10,2,1,48.7
7,4,12,2,0,65.6
10,7,9,0,1,58.4
12,7,12,0,1,67.7
13,7,10,0,1,79.7
0,6,8,2,0,0.1
10,5,11,1,0,87.8
1,5,14,2,0,19.4
4,7,15,0,0,19.1
13,3,11,2,1,110.6
4,4,11,0,1,18.6
12,7,15,0,1,78.0
7,4,14,2,1,75.7
3,3,16,3,1,47.9
5,5,17,1,0,31.4
8,3,16,2,0,69.2
12,7,17,2,0,95.5
9,7,12,1,0,58.1
14,3,11,0,1,92.6
13,5,11,1,0,82.5
12,7,10,1,0,69.5
9,6,15,0,0,59.1
4,3,15,1,1,50.9
6,5,16,2,1,62.9
1,5,9,3,0,19.9
5,5,12,2,0,33.3
14,2,10,3,0,103.9
6,3,16,3,1,71.3
1,7,10,0,0,0.0
10,3,9,1,1,73.3
15,3,13,1,1,113.8
13,3,16,1,1,95.8
4,3,17,2,0,40.7
7,2,8,3,0,63.4
8,4,11,1,0,60.1
3,7,9,0,1,18.1
4,2,11,3,0,51.7
3,3,13,1,0,30.4
15,2,10,3,0,113.9
11,5,8,1,1,67.6
13,3,13,3,1,106.9
13,6,8,0,0,77.0
15,5,10,0,1,98.9
1,6,8,0,1,0.0
14,5,8,2,1,94.3
1,4,12,0,1,18.5
7,7,16,0,0,42.6
9,4,15,1,1,63.9
5,7,8,1,1,43.1
2,7,8,1,1,9.3
3,5,11,2,1,33.4
13,6,14,0,1,88.1
5,3,15,3,0,54.2
4,6,16,0,1,25.2
14,6,11,2,1,112.3
2,7,9,3,0,23.7
14,3,8,0,0,94.9
14,6,9,4,1,111.7
9,4,8,1,0,54.0
2,3,16,0,1,33.3
2,3,10,0,1,13.3
4,5,16,1,1,39.8
9,3,13,0,0,53.7
2,2,13,1,0,14.3
7,4,12,0,1,52.2
1,5,16,1,1,13.7
8,3,8,2,0,50.1
0,7,8,4,0,12.2
11,6,12,2,0,90.0
0,5,11,3,1,25.4
3,7,13,0,1,15.0
2,4,15,1,0,23.0
13,2,13,1,0,103.3
0,2,10,0,0,11.1
6,7,11,1,1,37.0
9,7,15,1,0,59.6
8,6,10,1,0,51.7
10,2,13,1,0,81.8
12,3,13,2,1,97.2
6,2,15,1,0,54.2
13,2,15,0,0,103.2
5,3,12,1,1,53.1
15,5,11,3,0,113.5
8,2,11,1,0,73.4
11,7,12,0,1,65.0
14,4,10,0,1,103.1
12,3,14,2,0,98.5
13,5,10,3,0,116.0
8,6,14,3,0,58.5
0,3,15,1,1,12.8
7,2,17,1,1,70.3
2,2,9,0,1,22.6
14,7,15,0,1,102.1
3,2,8,1,0,23.0
3,5,11,0,1,25.5
3,4,9,1,1,33.2
10,6,9,3,0,76.9
9,2,9,0,1,59.9
15,7,8,1,1,102.4
6,6,16,3,1,66.5
4,4,8,2,1,40.6
0,3,11,0,0,3.8
0,7,14,0,0,0.0
5,3,17,1,0,47.3
14,4,16,1,1,109.9
8,4,9,3,1,69.9
14,3,17,0,0,95.7
1,4,14,1,0,8.9
1,2,9,5,0,32.7
13,2,12,2,1,107.6
1,3,17,1,0,21.6
0,2,11,0,0,6.9
6,4,9,0,0,39.2
14,7,16,0,1,87.8
11,2,17,2,0,104.1
1,2,17,1,0,23.2
13,2,17,1,0,100.2
13,5,16,1,0,95.5
12,3,12,3,0,87.3
14,4,9,0,1,87.5
3,2,14,4,1,60.6
15,3,10,3,1,109.0
5,4,12,2,1,55.0
12,4,14,1,1,99.8
9,5,17,0,0,60.1
12,6,10,2,1,87.2
10,4,10,0,0,70.1
10,7,15,3,0,74.1
9,5,8,1,1,66.2
12,3,13,1,0,84.5
11,3,15,1,0,81.5
2,3,13,1,0,18.7
13,5,11,2,0,94.2
8,3,16,1,1,77.0
5,7,11,1,1,31.5
8,4,15,1,0,54.3
15,7,12,1,0,88.3
13,6,8,1,1,86.4
13,4,13,2,1,112.6
7,3,8,3,0,63.4
12,6,17,1,1,86.0
6,3,14,2,0,60.8
10,3,11,1,0,71.7
10,7,12,2,0,65.5
3,4,14,1,1,26.4
4,2,10,0,0,38.9
0,4,10,2,0,0.0
2,4,12,0,0,18.6
6,7,10,0,0,25.6
7,6,15,1,1,50.9
2,3,9,2,0,34.4
6,2,16,1,0,51.8
9,5,11,1,1,60.5
3,2,13,1,1,36.2
5,3,9,2,0,46.2
5,2,11,2,1,50.4
8,2,15,0,1,57.0
5,7,10,1,1,26.2
11,2,9,0,1,86.4
5,2,13,1,1,50.4
6,7,9,2,0,40.9
6,3,11,0,0,40.0
2,6,12,1,0,9.3
10,2,13,1,0,88.6
3,2,14,1,1,37.1
4,2,14,0,0,32.5
12,6,16,1,0,89.7
15,5,8,0,1,90.2
10,4,11,2,1,76.0
14,3,8,4,1,116.1
13,2,8,3,0,103.0
7,5,10,1,0,48.0
12,3,13,2,1,110.6
5,5,16,2,0,48.1
7,6,15,2,0,40.6
8,7,14,1,1,57.7
15,4,15,2,0,113.1
13,2,9,0,1,92.0
7,3,16,0,0,55.6
10,7,16,0,1,65.4
3,5,8,1,1,21.7
12,5,12,0,1,83.5
8,4,16,2,0,65.3
8,2,12,3,1,73.6
12,7,16,4,1,118.7
10,6,17,1,1,71.0
1,7,12,3,0,15.4
4,7,8,1,0,9.5
2,3,11,0,0,16.3
11,3,10,1,0,72.8
0,3,12,0,1,5.1
3,7,13,0,1,22.8
9,5,12,0,1,63.1
11,4,9,2,1,87.1
8,7,11,0,1,36.0
13,5,14,1,0,101.2
14,7,8,1,0,76.3
2,7,10,1,1,21.1
15,2,16,1,0,120.7
9,4,8,4,0,80.0
10,6,12,2,1,69.7
1,6,10,1,1,9.3
9,2,9,3,0,75.4
11,3,12,0,0,75.5
9,5,13,1,0,61.5
1,6,9,2,1,0.5
8,2,8,0,1,64.7
14,5,9,0,1,88.7
11,3,14,1,1,84.3
2,3,16,0,0,18.2
15,5,9,1,1,103.4
15,4,11,1,0,97.2
2,5,11,1,0,1.6
12,3,11,3,1,103.5
6,6,10,2,1,49.5
9,2,8,1,0,64.8
7,7,13,0,0,31.6
12,2,11,1,0,89.6
15,6,11,1,1,91.8
12,4,10,1,1,79.7
14,4,17,1,0,98.8
15,2,14,0,0,111.8
1,6,12,0,0,0.0
4,2,10,0,0,27.7
11,5,16,0,0,85.8
9,6,16,0,0,60.2
0,7,8,1,0,0.0
1,6,17,0,1,9.1
8,3,14,0,1,58.6
9,6,8,0,0,35.4
2,6,15,1,1,26.7
2,3,9,1,0,21.4
2,2,8,0,1,17.9
9,7,9,1,0,51.4
0,2,12,0,1,15.2
9,5,14,0,0,49.4
7,3,12,4,1,71.8
7,2,9,1,0,47.4
10,6,9,1,1,76.3
8,2,16,2,0,79.9
11,6,17,2,1,74.1
12,6,15,1,0,72.8
14,2,9,3,1,113.9
12,3,16,2,0,94.8
8,6,14,0,1,45.3
7,5,13,0,1,60.2
3,2,9,1,1,34.1
9,7,17,2,0,70.1
2,3,12,0,0,12.6
14,2,8,1,0,102.8
13,7,10,2,1,86.6
1,2,12,1,1,21.1
12,5,8,1,0,80.2
1,7,11,3,1,7.8
11,5,12,1,0,84.4
1,5,17,0,1,15.4
7,4,8,0,0,49.2
10,2,13,1,0,72.0
11,5,17,1,0,75.3
6,7,16,0,0,28.6
14,2,17,1,0,110.8
12,7,9,3,0,83.1
3,4,16,1,0,27.8
10,5,17,2,0,73.7
11,2,11,0,1,73.5
5,5,12,0,0,30.0
11,3,13,0,0,73.7
14,3,12,3,1,111.2
13,6,10,1,1,95.7
12,2,17,1,0,95.8
10,4,17,0,1,83.4
4,5,11,1,1,28.9
12,2,16,2,1,106.1
5,3,11,3,0,51.3
8,4,15,3,0,62.7
5,5,13,0,0,40.1
5,7,12,0,1,27.5
2,7,9,1,1,15.2
15,3,14,0,1,103.2
2,2,11,0,1,21.6
1,2,10,1,0,11.2
14,5,9,3,0,109.1
8,2,17,2,1,81.7
7,3,9,1,1,57.4
11,7,15,1,0,80.5
6,7,16,2,0,53.5
2,7,8,1,1,14.1
11,3,13,2,0,79.0
2,5,13,0,0,7.8
8,5,11,1,1,52.1
15,3,14,3,0,124.6
14,5,12,2,0,100.8
5,5,12,1,1,31.5
12,4,12,1,0,83.2
9,6,16,1,1,58.6
7,6,14,1,0,47.9
2,5,11,0,0,0.0
6,6,17,2,0,54.0
10,6,16,1,1,76.4
15,5,17,0,0,112.7
0,3,15,0,1,16.5
11,6,11,3,0,79.1
13,6,15,0,0,87.8
15,7,11,1,1,89.2
6,2,10,3,1,58.1
1,4,12,2,1,24.3
4,7,17,1,0,16.4
13,5,13,1,0,88.8
14,7,11,3,1,96.0
10,2,12,1,0,77.9
1,2,10,0,0,4.4
1,6,14,0,1,10.2
7,4,11,1,1,54.7
9,5,13,0,0,65.9
0,4,11,2,1,14.6
10,4,11,1,1,69.5
8,7,17,2,0,59.3
0,2,11,5,1,29.0
1,6,8,2,1,13.9
7,7,11,0,0,39.6
11,5,13,0,0,85.3
13,4,8,3,0,93.3
6,2,11,0,1,47.0
4,6,9,1,0,19.2
15,4,13,5,0,128.3
7,2,15,0,0,58.2
5,4,17,0,0,39.0
7,7,11,1,0,48.1
0,3,16,0,1,8.9
4,3,10,1,1,42.8
8,6,15,4,0,75.6
14,3,13,1,0,101.4
11,7,15,1,0,70.5
12,7,15,0,1,92.0
8,7,13,2,1,55.1
1,7,10,1,1,7.2
6,3,13,1,1,49.0
15,3,16,0,0,116.8
0,4,17,0,0,12.1
14,4,17,1,0,99.2
10,7,9,1,1,65.8
4,6,13,0,0,23.5
12,5,9,1,0,74.6
13,7,14,2,1,98.2
0,5,17,1,1,15.6
1,4,8,0,0,3.8
10,4,14,3,1,88.4
15,5,17,1,1,113.4
0,2,16,1,1,22.5
10,6,11,1,1,68.5
2,5,9,3,0,19.9
10,6,17,1,1,85.5
9,5,17,0,1,60.0
1,6,13,1,1,14.6
10,7,17,0,1,64.9
14,5,8,0,1,98.6
13,4,14,1,1,91.8
0,2,8,0,1,1.6
3,6,17,1,1,24.0
3,7,14,2,1,30.6
7,6,17,2,0,49.1
2,7,13,0,1,7.1
13,7,8,0,0,58.6
12,6,8,0,1,73.4
12,5,11,3,1,92.1
3,2,15,2,1,36.0
0,2,9,2,1,24.7
14,3,16,2,0,102.8
4,4,10,1,0,34.7
10,6,12,0,1,59.6
14,4,10,0,1,103.0
0,2,12,2,1,26.3
0,3,12,0,1,1.8
0,7,8,0,1,0.0
2,7,13,0,0,9.6
0,4,15,2,0,13.8
13,6,17,1,1,93.8
9,6,11,0,1,63.7
15,7,16,0,1,93.6
12,7,16,6,1,112.1
15,5,17,0,1,111.0
3,4,11,0,1,28.0
4,5,16,0,1,31.6
13,3,13,0,0,87.8
3,4,8,1,1,14.6
0,5,10,2,1,4.1
10,5,14,1,0,72.6
12,5,9,0,1,75.4
15,4,12,0,1,102.7
14,4,15,1,1,111.1
1,2,9,3,0,19.1
12,5,12,2,1,89.4
13,5,10,2,0,92.0
11,7,13,0,1,64.3
13,5,10,1,1,98.0
13,4,17,0,1,100.8
7,2,8,0,1,53.2
0,3,17,1,0,26.1
7,4,15,1,1,50.4
3,4,16,3,1,45.6
1,4,16,0,0,14.3
1,4,9,1,0,3.7
11,6,17,4,0,96.1
8,2,13,0,1,57.4
8,3,17,1,1,75.4
11,2,16,1,1,98.9
8,3,13,1,1,68.1
10,6,11,0,0,47.5
1,2,9,0,1,7.9
13,4,9,1,0,90.6
7,2,11,1,0,56.7
2,7,16,0,0,0.0
13,6,13,0,0,88.0
11,3,12,2,1,91.1
0,3,10,3,1,17.0
3,2,13,2,1,48.5
0,4,14,1,0,4.6
4,6,17,0,0,22.7
1,5,15,1,0,15.6
11,7,14,0,1,80.4
8,4,17,0,0,68.5
15,3,12,0,0,103.5
11,4,17,2,1,96.1
9,3,11,0,1,69.8
8,7,9,1,1,42.2
0,3,12,2,0,18.7
1,4,9,3,1,19.8
9,5,9,1,0,60.1
